,source,target,edge,weight,bio,articles
87,ad,Human,have_been_documented,0.589,0.167,undefined
88,ad,POU class 2 homeobox 3,comprises,0.29,0.167,undefined
89,cyclosporine,Human,be_considered,0.097,0.167,undefined
90,mycophenolate mofetil,Human,be_considered,0.097,0.167,undefined
91,methotrexate,Human,be_considered,0.097,0.167,undefined
92,azathioprine,Human,be_considered,0.097,0.167,undefined
93,urticaria,pruritus,may_be_considered,0.097,0.167,undefined
94,urticaria,Human,may_be_considered,0.097,0.167,undefined
95,PLA2G6-associated neurodegeneration,ad,incorporate,0.194,0.167,undefined
96,PLA2G6-associated neurodegeneration,PLA2G6-associated neurodegeneration,incorporate,0.097,0.167,undefined
97,ad,ad,has_evolved,0.992,0.167,undefined
98,JAK1,atopic dermatitis,has_completed,0.145,0.167,undefined
99,upadacitinib,atopic dermatitis,has_completed,0.145,0.167,undefined
100,JAK2,ad,undergone,0.145,0.167,undefined
101,ruxolitinib,ad,undergone,0.145,0.167,undefined
102,JAK1,ad,undergone,0.145,0.167,undefined
103,xerosis,Alzheimer disease type 1,support,0.097,0.143,undefined
104,ad,immune dysregulation,is_precipitated,0.097,0.143,undefined
105,ad,ad,is_precipitated,0.992,0.143,undefined
106,ad,POU class 2 homeobox 3,is_precipitated,0.29,0.143,undefined
107,Alzheimer disease type 1,pruritus,prioritizes,0.097,0.143,undefined
108,Human,health,highlights,0.097,0.125,undefined
109,Alzheimer disease type 1,Human,demonstrated,0.194,0.125,undefined
110,Alzheimer disease type 1,ad,demonstrated,0.097,0.125,undefined
111,Alzheimer disease type 1,T helper 17 cell,demonstrated,0.194,0.125,undefined
112,Alzheimer disease type 1,skin lesions,demonstrated,0.097,0.125,undefined
113,ad,pruritus,is_characterized,0.29,0.111,undefined
114,ad,eczema,is_characterized,0.194,0.111,undefined
115,Alzheimer disease type 1,Th22,is_characterized,0.097,0.111,undefined
116,atopic dermatitis,inflammatory skin disorder,is,0.097,0.01,undefined
117,atopic dermatitis,skin disease,is,0.194,0.01,undefined
118,ad,inflammatory skin disorder,is,0.097,0.01,undefined
119,ad,skin disease,is,0.194,0.01,undefined
120,atopic dermatitis,inflammatory skin disease,is,0.097,0.01,undefined
121,ad,inflammatory skin disease,is,0.097,0.01,undefined
122,POU class 2 homeobox 3,Alzheimer disease type 1,is,0.145,0.01,undefined
123,POU class 2 homeobox 3,viral matrix protein,is,0.097,0.01,undefined
124,POU class 2 homeobox 3,lipids,is,0.097,0.01,undefined
125,Hopscotch Dmel_CG1594,cytokine,is,0.097,0.01,undefined
126,Hopscotch Dmel_CG1594,Signal Transduction,is,0.097,0.01,undefined
127,symptom,pruritus,is,0.097,0.01,undefined
128,ad,pruritus,is,0.29,0.01,undefined
129,Alzheimer disease type 1,insufficient sleep,were,0.097,0.01,undefined
130,Alzheimer disease type 1,difficulty falling asleep,were,0.097,0.01,undefined
131,ad,nutritional deficiency disease,is,0.097,0.01,undefined
132,ad,erythroderma,is,0.097,0.01,undefined
133,ad,impetigo,is,0.097,0.01,undefined
134,ad,scabies,is,0.097,0.01,undefined
135,ad,seborrheic dermatitis,is,0.097,0.01,undefined
136,ad,contact dermatitis,is,0.097,0.01,undefined
137,ad,ichthyoses,is,0.097,0.01,undefined
138,ad,cutaneous t-cell lymphoma,is,0.097,0.01,undefined
139,ad,T-cell lymphoma,is,0.097,0.01,undefined
140,ad,psoriasis,is,0.097,0.01,undefined
141,ad,photosensitivity dermatoses,is,0.097,0.01,undefined
142,ad,Immune deficiency Dmel_CG5576,is,0.097,0.01,undefined
143,crisaborole,ad,is,0.242,0.01,undefined
144,crisaborole,"cAMP-specific 3’,5’-cyclic phosphodiesterase 4",is,0.097,0.01,undefined
145,PLA2G6-associated neurodegeneration,Human,is,0.242,0.01,undefined
146,PLA2G6-associated neurodegeneration,ad,is,0.194,0.01,undefined
147,dupilumab,Il13,is,0.097,0.01,undefined
148,dupilumab,Il4,is,0.097,0.01,undefined
